Year,Period,labor force,employment,unemployment,unemployment rate
2006,Jan,245718,236405,9313,3.8
2006,Feb,247942,237783,10159,4.1
2006,Mar,249102,239816,9286,3.7
2006,Apr,248950,239805,9145,3.7
2006,May,251530,241675,9855,3.9
2006,Jun,254221,243568,10653,4.2
2006,Jul,257485,246196,11289,4.4
2006,Aug,256076,245415,10661,4.2
2006,Sep,255396,245782,9614,3.8
2006,Oct,256627,247182,9445,3.7
2006,Nov,258002,247841,10161,3.9
2006,Dec,257527,248312,9215,3.6
2007,Jan,252685,242402,10283,4.1
2007,Feb,253936,243824,10112,4.0
2007,Mar,254765,245556,9209,3.6
2007,Apr,253498,244240,9258,3.7
2007,May,254149,244660,9489,3.7
2007,Jun,257355,246644,10711,4.2
2007,Jul,260048,249079,10969,4.2
2007,Aug,257040,246988,10052,3.9
2007,Sep,258037,248502,9535,3.7
2007,Oct,255557,246149,9408,3.7
2007,Nov,257072,247441,9631,3.7
2007,Dec,255684,245872,9812,3.8
2008,Jan,259241,248655,10586,4.1
2008,Feb,259506,248802,10704,4.1
2008,Mar,260914,250389,10525,4.0
2008,Apr,262185,252236,9949,3.8
2008,May,263070,251271,11799,4.5
2008,Jun,265048,252090,12958,4.9
2008,Jul,268202,254370,13832,5.2
2008,Aug,264968,251839,13129,5.0
2008,Sep,265074,252879,12195,4.6
2008,Oct,264619,252746,11873,4.5
2008,Nov,267142,251711,15431,5.8
2008,Dec,265941,249460,16481,6.2
2009,Jan,266928,247383,19545,7.3
2009,Feb,267754,247097,20657,7.7
2009,Mar,267323,247711,19612,7.3
2009,Apr,268079,249075,19004,7.1
2009,May,268479,247827,20652,7.7
2009,Jun,270105,248259,21846,8.1
2009,Jul,270844,248799,22045,8.1
2009,Aug,267435,246239,21196,7.9
2009,Sep,266581,245924,20657,7.7
2009,Oct,264809,244390,20419,7.7
2009,Nov,265244,244826,20418,7.7
2009,Dec,262860,242269,20591,7.8
2010,Jan,258110,235211,22899,8.9
2010,Feb,259615,236786,22829,8.8
2010,Mar,261066,238952,22114,8.5
2010,Apr,265089,243575,21514,8.1
2010,May,264625,242920,21705,8.2
2010,Jun,263858,241785,22073,8.4
2010,Jul,267435,245312,22123,8.3
2010,Aug,264090,242771,21319,8.1
2010,Sep,262950,243028,19922,7.6
2010,Oct,261976,242383,19593,7.5
